name,stars,age,releases,language,clone_url
AndroidUtilCode,32454,7,117,Java,https://codeload.github.com/Blankj/AndroidUtilCode/legacy.zip/51c8124045ec5b7c6d342b94a4020ed2f7fda496
AndroidTutorialForBeginners,4156,6,0,Java,https://codeload.github.com/hussien89aa/AndroidTutorialForBeginners/legacy.zip/c259419acc9110a7bb7fbd8a65f9435148604ab7
AndroidNote,8966,7,0,Java,https://codeload.github.com/GcsSloop/AndroidNote/legacy.zip/21ba33e3d40c7f462d3c7c90322f4318060fe3ff
AndroidSwipeLayout,12314,9,18,Java,https://codeload.github.com/daimajia/AndroidSwipeLayout/legacy.zip/5f8678b04751fb8510a88586b22e07ccf64bca99
AndroidViewAnimations,12345,9,9,Java,https://codeload.github.com/daimajia/AndroidViewAnimations/legacy.zip/6a35c466d23e49c5cd174289ebe8d9ccdbc69044
AndroidSlidingUpPanel,9472,10,8,Java,https://codeload.github.com/umano/AndroidSlidingUpPanel/legacy.zip/45a460435b07e764138a700328836cafc1ed5c42
AndroidAutoSize,13111,5,14,Java,https://codeload.github.com/JessYanCoding/AndroidAutoSize/legacy.zip/e402ecdd998ea07549513ac08c12e9f097f3b48c
AndroidAsync,7439,11,0,Java,https://codeload.github.com/koush/AndroidAsync/legacy.zip/12f9e20443db5c8e79e7e4d43d9e2b3f4230266b
AndroidPicker,6110,7,55,Java,https://codeload.github.com/gzu-liyujiang/AndroidPicker/legacy.zip/0a9c88357aba8e6aebeebd002e427ce128feaaa1
AndroidPdfViewer,7756,7,0,Java,https://codeload.github.com/barteksc/AndroidPdfViewer/legacy.zip/d243b39377f19c3eae41e227067da254ebbf731b
