name,stars,age,releases,language,zip_url,clone_url
AndroidUtilCode,32472,7,117,Java,https://codeload.github.com/Blankj/AndroidUtilCode/legacy.zip/51c8124045ec5b7c6d342b94a4020ed2f7fda496,https://github.com/Blankj/AndroidUtilCode
AndroidTutorialForBeginners,4163,6,0,Java,https://codeload.github.com/hussien89aa/AndroidTutorialForBeginners/legacy.zip/c259419acc9110a7bb7fbd8a65f9435148604ab7,https://github.com/hussien89aa/AndroidTutorialForBeginners
AndroidNote,8971,7,0,Java,https://codeload.github.com/GcsSloop/AndroidNote/legacy.zip/21ba33e3d40c7f462d3c7c90322f4318060fe3ff,https://github.com/GcsSloop/AndroidNote
AndroidSwipeLayout,12316,9,18,Java,https://codeload.github.com/daimajia/AndroidSwipeLayout/legacy.zip/5f8678b04751fb8510a88586b22e07ccf64bca99,https://github.com/daimajia/AndroidSwipeLayout
AndroidViewAnimations,12345,9,9,Java,https://codeload.github.com/daimajia/AndroidViewAnimations/legacy.zip/6a35c466d23e49c5cd174289ebe8d9ccdbc69044,https://github.com/daimajia/AndroidViewAnimations
AndroidSlidingUpPanel,9473,10,8,Java,https://codeload.github.com/umano/AndroidSlidingUpPanel/legacy.zip/45a460435b07e764138a700328836cafc1ed5c42,https://github.com/umano/AndroidSlidingUpPanel
AndroidAutoSize,13116,5,14,Java,https://codeload.github.com/JessYanCoding/AndroidAutoSize/legacy.zip/e402ecdd998ea07549513ac08c12e9f097f3b48c,https://github.com/JessYanCoding/AndroidAutoSize
AndroidAsync,7441,11,0,Java,https://codeload.github.com/koush/AndroidAsync/legacy.zip/12f9e20443db5c8e79e7e4d43d9e2b3f4230266b,https://github.com/koush/AndroidAsync
AndroidPicker,6115,7,55,Java,https://codeload.github.com/gzu-liyujiang/AndroidPicker/legacy.zip/0a9c88357aba8e6aebeebd002e427ce128feaaa1,https://github.com/gzu-liyujiang/AndroidPicker
AndroidPdfViewer,7765,7,0,Java,https://codeload.github.com/barteksc/AndroidPdfViewer/legacy.zip/d243b39377f19c3eae41e227067da254ebbf731b,https://github.com/barteksc/AndroidPdfViewer
AndroidAutoLayout,6682,7,0,Java,https://codeload.github.com/hongyangAndroid/AndroidAutoLayout/legacy.zip/d0045f33d2a944bebbc07ab3d54a1c19b9d2963b,https://github.com/hongyangAndroid/AndroidAutoLayout
lottie-android,34237,6,46,Java,https://codeload.github.com/airbnb/lottie-android/legacy.zip/34aa06b8db75976f06b134b4fdcdb7dc26e48e07,https://github.com/airbnb/lottie-android
AndroidProject,5872,4,17,Java,https://codeload.github.com/getActivity/AndroidProject/legacy.zip/fe27fc48ec79f180266cf46adb5fc1725f0787ae,https://github.com/getActivity/AndroidProject
Signal-Android,24040,11,0,Java,https://codeload.github.com/signalapp/Signal-Android/legacy.zip/29c4d9f4d627033840cb074df586e1388cc30c8a,https://github.com/signalapp/Signal-Android
AndResGuard,8348,7,4,Java,https://codeload.github.com/shwenzhang/AndResGuard/legacy.zip/e4df245d82f27d9a2d0dd108260a3510cbaba849,https://github.com/shwenzhang/AndResGuard
AndPermission,6604,7,0,Java,https://codeload.github.com/yanzhenjie/AndPermission/legacy.zip/00bedd6a3a939ce6dab22885723699025c63377b,https://github.com/yanzhenjie/AndPermission
AndroidImageSlider,5644,9,5,Java,https://codeload.github.com/daimajia/AndroidImageSlider/legacy.zip/e318cabdef668de985efdcc45ca304e2ac6f58b5,https://github.com/daimajia/AndroidImageSlider
quickstart-android,8570,7,0,Java,https://codeload.github.com/firebase/quickstart-android/legacy.zip/b429914787dd65e0db36adb8daba8af199c1ec42,https://github.com/firebase/quickstart-android
AndEngine,3163,11,0,Java,https://codeload.github.com/nicolasgramlich/AndEngine/legacy.zip/720897f99d2c56ba357e8fe361454bd8d88c37ed,https://github.com/nicolasgramlich/AndEngine
androidannotations,11104,11,0,Java,https://codeload.github.com/androidannotations/androidannotations/legacy.zip/0d24f1b64dd6b4c27d9a77d3b771a129a59b5b4c,https://github.com/androidannotations/androidannotations
Android,3436,10,0,Java,https://codeload.github.com/hmkcode/Android/legacy.zip/a301aa4b1b6b684978f15e7528507ac350aea3f2,https://github.com/hmkcode/Android
AndroidVideoCache,5272,8,20,Java,https://codeload.github.com/danikula/AndroidVideoCache/legacy.zip/fe52f3c84abba5f5dd1913cd70d8f3e3cfa3d0c3,https://github.com/danikula/AndroidVideoCache
AndroidPerformanceMonitor,6574,7,0,Java,https://codeload.github.com/markzhai/AndroidPerformanceMonitor/legacy.zip/ed688391cdf95742892ce61494736667cf5baf08,https://github.com/markzhai/AndroidPerformanceMonitor
AndroidStaggeredGrid,4772,9,7,Java,https://codeload.github.com/etsy/AndroidStaggeredGrid/legacy.zip/97739f6690a7676b62f0eb1246ae195ac98df4e2,https://github.com/etsy/AndroidStaggeredGrid
RxAndroid,19806,9,20,Java,https://codeload.github.com/ReactiveX/RxAndroid/legacy.zip/242029495758cd20a47bfe7bd700edcac68093c2,https://github.com/ReactiveX/RxAndroid
Android-Universal-Image-Loader,16806,11,0,Java,https://codeload.github.com/nostra13/Android-Universal-Image-Loader/legacy.zip/458df4da2e23ba9ad76c79241a948cdfcccf72ae,https://github.com/nostra13/Android-Universal-Image-Loader
coursera-android,4276,9,0,Java,https://codeload.github.com/aporter/coursera-android/legacy.zip/157373885fbfa18b83fa97cd46f6a003905970ea,https://github.com/aporter/coursera-android
AndServer,3479,7,1,Java,https://codeload.github.com/yanzhenjie/AndServer/legacy.zip/23a7c15512f5a70a9ce517710a5d04c06a4d57c9,https://github.com/yanzhenjie/AndServer
AndroidResideMenu,2855,9,7,Java,https://codeload.github.com/SpecialCyCi/AndroidResideMenu/legacy.zip/eee589e385d148d51c32aad3667fdc30839bb576,https://github.com/SpecialCyCi/AndroidResideMenu
AndroidFire,2597,6,0,Java,https://codeload.github.com/jaydenxiao2016/AndroidFire/legacy.zip/342dcf8a99bc20e3938ebafc4dcc81ac751c440d,https://github.com/jaydenxiao2016/AndroidFire
AndroidChromium,3039,7,2,Java,https://codeload.github.com/JackyAndroid/AndroidChromium/legacy.zip/337687c3d475960c00d57f2c72719b47d6ce9011,https://github.com/JackyAndroid/AndroidChromium
AndroidTVLauncher,2994,7,3,Java,https://codeload.github.com/JackyAndroid/AndroidTVLauncher/legacy.zip/aa20c0a53da7faedd6e20b6bb10f5933a6fdcdd6,https://github.com/JackyAndroid/AndroidTVLauncher
AndroRAT,2178,3,0,Java,https://codeload.github.com/karma9874/AndroRAT/legacy.zip/c2ce290579d4b9ccdbc8ee7e65b4c34dda784903,https://github.com/karma9874/AndroRAT
QMUI_Android,14182,6,35,Java,https://codeload.github.com/Tencent/QMUI_Android/legacy.zip/026e7d486677d6593a96689cd590ec3561176717,https://github.com/Tencent/QMUI_Android
